iter	RMSE
0	392562.9143
1	383848.5111
2	375497.5743
3	367689.2431
4	359816.1302
5	352261.4816
6	345204.2352
7	338348.6899
8	331525.4317
9	325402.8157
10	319564.9984
11	314371.4976
12	308871.2984
13	304914.5604
14	300082.5695
15	295194.0815
16	291107.328
17	287230.0425
18	282971.5774
19	279009.6251
20	275090.955
21	271498.1161
22	268070.663
23	264904.7153
24	262088.4725
25	259104.158
26	256184.0439
27	253379.123
28	250526.4794
29	248316.8588
30	246285.5671
31	244040.5196
32	242023.2225
33	239898.5614
34	237922.5225
35	236212.147
36	234400.7607
37	232414.963
38	231198.3616
39	229652.3896
40	228161.6583
41	226666.7496
42	225306.4719
43	223896.0759
44	222647.907
45	221567.6645
46	220500.7659
47	219494.0984
48	218366.5646
49	217320.2643
50	216415.3478
51	215312.0338
52	214190.6114
53	213198.6811
54	212293.9487
55	211512.4422
56	210658.4578
57	209793.038
58	209086.1582
59	208261.6274
60	207627.3945
61	206937.0902
62	206274.0206
63	205572.1308
64	205100.7116
65	204171.0032
66	203353.4491
67	202982.6776
68	202337.5985
69	201829.468
70	201340.1425
71	200608.1998
72	200095.3484
73	199495.68
74	198831.8737
75	198455.4434
76	197871.1698
77	197417.3797
78	196956.5965
79	196487.2476
80	196198.6862
81	195849.7459
82	195406.8659
83	195118.7644
84	194794.0725
85	194484.0787
86	194041.8687
87	193518.6228
88	193161.5647
89	192977.1193
90	192683.3941
91	192377.6622
92	192038.3908
93	191551.4358
94	191245.289
95	190803.7568
96	190548.4597
97	190251.7269
98	189901.0459
99	189577.5907
100	189369.7154
101	189085.3155
102	188805.7882
103	188457.5772
104	188004.2432
105	187817.2702
106	187548.9801
107	187238.9894
108	187030.3497
109	186745.3883
110	186531.5317
111	186330.2697
112	186040.9857
113	185815.738
114	185519.9508
115	185232.7787
116	184816.2104
117	184627.3926
118	184385.8554
119	183961.7302
120	183597.5002
121	183364.0592
122	183046.7103
123	182826.3289
124	182577.7603
125	182125.676
126	181909.0952
127	181667.537
128	181335.9597
129	181072.8175
130	180950.8722
131	180578.7656
132	180399.2715
133	180299.4739
134	179945.9679
135	179786.2297
136	179453.6152
137	179227.2351
138	178956.9335
139	178794.7667
140	178511.8724
141	178381.5357
142	178218.7083
143	177929.6772
144	177743.7684
145	177534.2742
146	177310.2867
147	177119.1555
148	176946.3809
149	176724.9852
150	176529.5777
151	176161.3801
152	175991.9614
153	175747.4034
154	175522.7672
155	175292.7907
156	175139.1221
157	174946.7834
158	174605.4279
159	174432.8946
160	174159.3585
161	174042.7385
162	173765.2132
163	173629.0539
164	173378.7205
165	173274.0636
166	173101.5023
167	173006.8499
168	172791.0824
169	172657.6991
170	172403.3114
171	172283.8209
172	172088.6891
173	171757.509
174	171569.7543
175	171133.5634
176	170993.1564
177	170716.966
178	170485.118
179	170372.1477
180	170263.5948
181	169899.6782
182	169500.3828
183	169311.3968
184	169084.5884
185	168869.6053
186	168740.1242
187	168519.8974
188	168334.3291
189	168086.4188
190	167923.8757
191	167587.8995
192	167413.5129
193	167288.0188
194	167057.9932
195	166777.4813
196	166479.6721
197	166081.2918
198	165814.8916
199	165598.5692
200	165386.5277
201	165090.4905
202	164925.555
203	164657.4422
204	164433.3826
205	164165.5387
206	164050.5829
207	163737.7204
208	163624.5378
209	163418.5952
210	163096.5242
211	162730.2161
212	162444.219
213	162200.6173
214	162089.0338
215	161697.4672
216	161544.6851
217	161128.2507
218	160733.6649
219	160555.0804
220	160337.6613
221	160130.8025
222	159906.5333
223	159759.866
224	159573.9616
225	159470.54
226	159304.0017
227	159209.7634
228	159033.6468
229	158850.5219
230	158689.6274
231	158526.312
232	158394.9925
233	158270.4299
234	158017.6501
235	157811.116
236	157595.3439
237	157252.6573
238	157159.8092
239	156984.4556
240	156843.9925
241	156665.3328
242	156496.373
243	156339.8102
244	156134.9457
245	155947.1983
246	155670.4093
247	155507.1543
248	155350.6758
249	155206.9409
250	155054.6852
251	154685.3697
252	154481.4715
253	154192.1861
254	154037.0576
255	153943.2466
256	153792.1131
257	153483.0291
258	153310.1659
259	152999.3058
260	152833.4364
261	152658.9722
262	152439.7346
263	152292.6489
264	152147.2525
265	151907.744
266	151737.3602
267	151591.4063
268	151452.7164
269	151321.7989
270	151199.9669
271	151010.8269
272	150848.0782
273	150654.4539
274	150525.1323
275	150348.8491
276	150098.0977
277	149864.2242
278	149736.3746
279	149595.1787
280	149471.8139
281	149246.1246
282	149065.7015
283	148881.2694
284	148804.5245
285	148662.0618
286	148555.6093
287	148344.1181
288	148207.8376
289	147927.6979
290	147786.0383
291	147638.851
292	147496.2331
293	147350.724
294	147246.9594
295	146962.5689
296	146828.6517
297	146649.1427
298	146492.0553
299	146276.5434
300	146155.9507
301	146084.0183
302	145978.7844
303	145689.4666
304	145438.8235
305	145307.4859
306	145148.0388
